Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
06/18/14 04:00 PM	3.2	-0.031	0.004	0.092	-0.001
06/18/14 08:00 PM	12.4	-0.024	0.006	0.091	0.000
06/19/14 12:00 AM	13.9	-0.020	0.010	0.092	0.002
06/19/14 04:00 AM	9.5	-0.024	0.010	0.092	0.002
06/19/14 08:00 AM	6.7	-0.027	0.009	0.092	0.001
06/19/14 12:00 PM	6.0	-0.027	0.007	0.092	0.000
06/19/14 04:00 PM	7.3	-0.027	0.006	0.092	0.000
06/19/14 08:00 PM	17.3	-0.021	0.008	0.092	0.003
06/20/14 12:00 AM	23.3	-0.017	0.014	0.092	0.004
06/20/14 04:00 AM	20.6	-0.022	0.014	0.094	0.004
06/20/14 08:00 AM	7.8	-0.025	0.010	0.095	0.003
06/20/14 12:00 PM	6.2	-0.028	0.009	0.093	0.003
06/20/14 04:00 PM	15.5	-0.027	0.005	0.093	0.003
06/20/14 08:00 PM	24.5	-0.021	0.009	0.093	0.004
06/21/14 12:00 AM	29.6	-0.017	0.015	0.094	0.005
06/21/14 04:00 AM	25.4	-0.022	0.013	0.096	0.006
06/21/14 08:00 AM	14.5	-0.026	0.010	0.096	0.004
06/21/14 12:00 PM	11.7	-0.028	0.008	0.095	0.004
06/21/14 04:00 PM	17.9	-0.029	0.004	0.095	0.004
06/21/14 08:00 PM	27.8	-0.019	0.009	0.095	0.006
06/22/14 12:00 AM	25.5	-0.019	0.012	0.097	0.006
06/22/14 04:00 AM	21.9	-0.023	0.010	0.099	0.006
06/22/14 08:00 AM	13.0	-0.027	0.009	0.099	0.005
06/22/14 12:00 PM	11.9	-0.031	0.006	0.099	0.004
06/22/14 04:00 PM	14.6	-0.030	0.004	0.095	0.004
06/22/14 08:00 PM	20.1	-0.023	0.006	0.096	0.005
06/23/14 12:00 AM	14.9	-0.025	0.005	0.095	0.004
06/23/14 04:00 AM	15.1	-0.026	0.007	0.095	0.004
06/23/14 08:00 AM	9.1	-0.028	0.005	0.095	0.003
06/23/14 12:00 PM	8.1	-0.031	0.004	0.094	0.003
06/23/14 04:00 PM	14.3	-0.029	0.004	0.093	0.003
06/23/14 08:00 PM	25.0	-0.019	0.007	0.093	0.004
06/24/14 12:00 AM	27.5	-0.017	0.013	0.095	0.004
06/24/14 04:00 AM	19.8	-0.022	0.011	0.095	0.004
06/24/14 08:00 AM	11.8	-0.026	0.009	0.095	0.004
06/24/14 12:00 PM	10.8	-0.028	0.007	0.095	0.003
06/24/14 04:00 PM	17.4	-0.029	0.004	0.095	0.003
06/24/14 08:00 PM	27.6	-0.020	0.009	0.095	0.004
06/25/14 12:00 AM	30.5	-0.017	0.015	0.095	0.007
06/25/14 04:00 AM	23.6	-0.022	0.013	0.098	0.006
06/25/14 08:00 AM	15.8	-0.025	0.010	0.099	0.004
06/25/14 12:00 PM	13.1	-0.027	0.007	0.097	0.004
06/25/14 04:00 PM	17.5	-0.027	0.004	0.095	0.004
06/25/14 08:00 PM	27.4	-0.019	0.008	0.095	0.007
06/26/14 12:00 AM	23.0	-0.019	0.012	0.098	0.006
06/26/14 04:00 AM	19.9	-0.024	0.010	0.099	0.006
06/26/14 08:00 AM	14.3	-0.026	0.008	0.099	0.004
06/26/14 12:00 PM	13.0	-0.027	0.006	0.097	0.004
06/26/14 04:00 PM	14.9	-0.027	0.004	0.095	0.004
06/26/14 08:00 PM	23.1	-0.022	0.008	0.095	0.004
06/27/14 12:00 AM	26.0	-0.019	0.011	0.096	0.006
06/27/14 04:00 AM	18.6	-0.023	0.011	0.099	0.006
06/27/14 08:00 AM	12.3	-0.027	0.009	0.098	0.004
06/27/14 12:00 PM	10.5	-0.027	0.005	0.095	0.004
06/27/14 04:00 PM	11.3	-0.025	0.003	0.095	0.008
06/27/14 08:00 PM	16.4	-0.022	0.006	0.095	0.004
06/28/14 12:00 AM	14.9	-0.019	0.009	0.095	0.004
06/28/14 04:00 AM	10.5	-0.017	0.004	0.095	0.009
06/28/14 08:00 AM	6.4	-0.017	0.004	0.095	0.009
06/28/14 12:00 PM	5.0	-0.019	0.002	0.093	0.007
06/28/14 04:00 PM	8.8	-0.018	0.003	0.092	0.004
06/28/14 08:00 PM	18.4	-0.008	0.009	0.092	0.004
06/29/14 12:00 AM	24.1	0.002	0.019	0.092	0.004
06/29/14 04:00 AM	19.6	-0.002	0.018	0.094	0.004
06/29/14 08:00 AM	11.2	-0.008	0.015	0.094	0.004
06/29/14 12:00 PM	7.1	-0.010	0.013	0.093	0.003
06/29/14 04:00 PM	13.9	-0.011	0.010	0.092	0.004
06/29/14 08:00 PM	23.9	0.001	0.018	0.092	0.004
06/30/14 12:00 AM	28.4	0.007	0.027	0.094	0.004
06/30/14 04:00 AM	23.9	0.002	0.027	0.095	0.006
06/30/14 08:00 AM	14.2	-0.004	0.024	0.096	0.004
