"quad","year","totCover"
"Q62",2013,4.0584175922345
"Q1",2014,126.130998664409
"Q19",2014,311.517764623825
"Q2",2014,154.011985425988
"Q20",2014,102.35612032959
"Q22",2014,406.749283168331
"Q23",2014,329.8309905701
"Q24",2014,140.706400538221
"Q25",2014,76.5636059882035
"Q26",2014,377.097512022318
"Q27",2014,221.858858911718
"Q28",2014,498.077437115823
"Q3",2014,221.755362329604
"Q31",2014,202.01894497838
"Q32",2014,0.25
"Q33",2014,15.8640228068345
"Q34",2014,56.887276521921
"Q37",2014,114.904607182753
"Q38",2014,32.07499394841
"Q39",2014,201.974600213012
"Q4",2014,167.305409561624
"Q40",2014,273.209897135121
"Q41",2014,26.571632376299
"Q42",2014,1
"Q43",2014,462.241567452642
"Q44",2014,358.925170135236
"Q45",2014,543.669918453167
"Q46",2014,22.806936109795
"Q47",2014,620.055673976681
"Q5",2014,446.15407483627
"Q50",2014,53.087768167871
"Q53",2014,361.278875244041
"Q54",2014,323.753807367606
"Q55",2014,0.5
"Q56",2014,364.338740410273
"Q57",2014,0.749999999999996
"Q58",2014,0.250000000000004
"Q59",2014,285.021857028486
"Q6",2014,164.467931986879
"Q61",2014,210.974659954235
"Q1",2015,121.288418171222
"Q19",2015,125.829392468369
"Q2",2015,41.161111540262
"Q20",2015,30.084378936096
"Q22",2015,108.661482945246
"Q23",2015,85.5579132244835
"Q24",2015,53.9451307637185
"Q25",2015,62.3795790045645
"Q26",2015,379.554437490724
"Q27",2015,211.196163760344
"Q28",2015,154.170045325112
"Q3",2015,148.189888493249
"Q31",2015,103.462851702024
"Q33",2015,26.3062064986895
"Q34",2015,36.1658102486005
"Q37",2015,72.333739600244
"Q38",2015,8.83921703703701
"Q39",2015,62.542064350699
"Q4",2015,157.76848645219
"Q40",2015,189.217515211926
"Q41",2015,28.796434541107
"Q43",2015,103.073834440292
"Q44",2015,283.016947437245
"Q45",2015,218.10558645329
"Q46",2015,6.8826468771705
"Q47",2015,460.869952176464
"Q5",2015,598.866242064644
"Q50",2015,148.428484750643
"Q52",2015,9.5301630147605
"Q53",2015,287.922031196331
"Q54",2015,437.095095689354
"Q56",2015,365.259549818479
"Q57",2015,0.25
"Q59",2015,215.771742604448
"Q6",2015,147.149813124614
"Q61",2015,315.813748995831
"Q62",2015,0.5
"Q1",2016,102.990791367918
"Q19",2016,164.869587098833
"Q2",2016,50.158173607142
"Q20",2016,43.8660138622825
"Q22",2016,217.055880601449
"Q23",2016,51.097265647691
"Q24",2016,46.9310552548855
"Q25",2016,107.296384076217
"Q26",2016,328.381197390178
"Q27",2016,267.410447916401
"Q28",2016,172.340542381145
"Q3",2016,140.469144973432
"Q31",2016,60.6570069456485
"Q33",2016,24.572453523517
"Q34",2016,45.410447640918
"Q37",2016,172.58489940259
"Q38",2016,11.4483512937195
"Q39",2016,48.2157040489865
"Q4",2016,121.664149789473
"Q40",2016,352.537139563112
"Q41",2016,23.047129959953
"Q42",2016,0.25
"Q43",2016,182.016635243388
"Q44",2016,413.567155781938
"Q45",2016,322.227180886964
"Q46",2016,15.974375227044
"Q47",2016,337.141116933003
"Q48",2016,0.959631739573496
"Q49",2016,0.75
"Q5",2016,419.811019937261
"Q50",2016,80.9491952773245
"Q51",2016,5.57220401265898
"Q52",2016,13.0911267218255
"Q53",2016,362.964832294479
"Q54",2016,250.063768451028
"Q56",2016,308.924608331173
"Q57",2016,0.249999999999998
"Q59",2016,166.761733293138
"Q6",2016,179.487672838836
"Q60",2016,0.25
"Q61",2016,262.981899631019
