"year","month","TMEAN","TPPT","ndays_missing_ppt","n_days_missing_tmean"
"1964","09",55.3,0,0,0
"1964","10",47.7,1.2,0,0
"1964","11",30,1,0,0
"1964","12",20.9,1.6,0,2
"1965","01",21.4,0.9,0,1
"1965","02",21.5,0,0,0
"1965","03",23.9,0,0,0
"1965","04",43,2.4,0,0
"1965","05",48.4,0.3,0,0
"1965","06",57.6,2.7,0,0
"1965","07",66,1,0,0
"1965","08",64.6,2.4,0,0
"1965","09",49.7,0.2,0,0
"1965","10",49.4,0.1,0,0
"1965","11",36.9,1.4,0,0
"1965","12",24.7,0.6,0,0
"1966","01",21.3,0.3,0,0
"1966","02",21.4,0.4,0,0
"1966","03",31.9,0.2,0,0
"1966","04",41.6,0.7,0,0
"1966","05",55.7,0.7,0,0
"1966","06",60.5,0.9,0,0
"1966","07",71.4,0.5,0,0
"1966","08",66.8,0.2,0,0
"1966","09",61.2,1.8,0,0
"1966","10",43.1,0.4,0,0
"1966","11",33.3,0.2,0,0
"1966","12",21.6,2,0,0
"1967","01",22.2,1.1,0,0
"1967","02",22.9,0.1,0,0
"1967","03",30.2,1,0,0
"1967","04",37.9,1.6,0,0
"1967","05",51.4,1.8,0,0
"1967","06",56.9,4,0,0
"1967","07",68.2,2.6,0,0
"1967","08",70.5,0.3,0,0
"1967","09",62.1,0.1,0,0
"1967","10",44.9,0.7,0,0
"1967","11",32.3,0.9,0,0
"1967","12",15.6,0.5,0,0
"1968","01",18.2,0.5,0,0
"1968","02",27.8,0.2,0,0
"1968","03",35.9,0.6,0,0
"1968","04",39.1,0.2,0,0
"1968","05",48.7,3,0,0
"1968","06",58.2,2.5,0,0
"1968","07",69.2,0.2,0,0
"1968","08",61,3.3,0,0
"1968","09",54.8,0.7,0,0
"1968","10",44.3,1,0,0
"1968","11",28.2,1.9,0,0
"1968","12",18.6,0.8,3,0
"1969","01",20,2.7,0,0
"1969","02",22.5,1.8,0,0
"1969","03",24,0.3,0,0
"1969","04",42.8,0.4,0,0
"1969","05",56.1,0.8,0,0
"1969","06",57.5,3,0,0
"1969","07",68,0.3,0,0
"1969","08",70,0,0,0
"1969","09",59.6,0.6,0,0
"1969","10",40.2,0.3,0,0
"1969","11",32.3,1.5,0,0
"1969","12",25.3,1,0,0
"1970","01",22,0.8,0,0
"1970","02",29.6,0,0,0
"1970","03",29.5,0.9,0,0
"1970","04",35.2,0.9,0,0
"1970","05",50.9,1.7,0,0
"1970","06",60.4,2.7,0,0
"1970","07",67.5,0.8,0,0
"1970","08",69.8,0.3,0,0
"1970","09",51.3,1.3,0,0
"1970","10",39.6,0.9,0,0
"1970","11",31.8,2.6,0,0
"1970","12",18.9,1.1,0,0
"1971","01",18.1,0.5,0,0
"1971","02",22.1,0.7,0,0
"1971","03",25.3,0.4,0,0
"1971","04",39.7,1.4,0,0
"1971","05",52,1.2,0,0
"1971","06",58.1,2,0,0
"1971","07",66.8,0.6,0,0
"1971","08",71,1.6,0,0
"1971","09",51.4,0.9,0,0
"1971","10",42,0.4,0,0
"1971","11",28.4,1.1,0,0
"1971","12",14.8,1.7,0,0
"1972","01",14.1,0.2,0,0
"1972","02",22.8,0,0,0
"1972","03",34.9,0.6,0,0
"1972","04",41.4,0.1,0,0
"1972","05",52.4,0.8,0,0
"1972","06",61.1,2,0,0
"1972","07",66.3,0.4,0,0
"1972","08",67.7,1.4,0,0
"1972","09",53.4,1.1,0,0
"1972","10",46.2,1.3,0,0
"1972","11",30.6,1.1,0,0
"1972","12",15.2,0.3,0,0
"1973","01",16.2,1.2,0,0
"1973","02",22.8,0.4,2,0
"1973","03",28.7,0.5,0,0
"1973","04",38.1,0.7,0,0
"1973","05",52.6,0.9,0,0
"1973","06",59.5,2,0,0
"1973","07",68.3,1.4,0,0
"1973","08",68.1,0.3,0,0
"1973","09",56.1,1.3,0,0
"1973","10",46.4,0.2,0,0
"1973","11",29.9,2,0,0
"1973","12",22.4,1,0,0
"1974","01",16.4,0.4,0,0
"1974","02",21.3,0.2,0,0
"1974","03",29,1.9,0,0
"1974","04",42.2,0.2,0,0
"1974","05",50.2,0.4,0,0
"1974","06",65.2,0,0,0
"1974","07",70.2,0.3,0,0
"1974","08",65.1,1.2,0,0
"1974","09",59.3,0,0,0
"1974","10",47.5,1.6,0,0
"1974","11",32.5,0.4,0,0
"1974","12",19.4,1.1,0,0
"1975","01",13.9,0.6,0,0
"1975","02",18.3,0.8,0,0
"1975","03",26.3,1.1,0,0
"1975","04",31.4,2.3,0,0
"1975","05",46.2,1.5,0,0
"1975","06",56.2,2,0,0
"1975","07",70.8,0.9,0,0
"1975","08",64,0.4,0,0
"1975","09",58.9,0.8,0,0
"1975","10",44,1.1,0,0
"1975","11",27.5,0.6,0,0
"1975","12",24.4,0.8,0,0
"1976","01",19.8,0.5,0,0
"1976","02",22.9,0.2,0,0
"1976","03",24.4,0.6,0,0
"1976","04",40.5,1.2,0,0
"1976","05",53.9,0.8,0,0
"1976","06",57.9,1.7,0,0
"1976","07",70.6,0.6,0,0
"1976","08",63.6,1.8,0,0
"1976","09",59.2,2.2,0,0
"1976","10",43.7,1.2,0,0
"1976","11",33.8,0,0,0
"1976","12",24.6,0,0,0
"1977","01",15.7,0.7,0,0
"1977","02",25.2,0.2,0,0
"1977","03",29.6,0.7,0,0
"1977","04",48.1,0.2,0,0
"1977","05",47.5,3.5,0,0
"1977","06",64.6,1.9,0,0
"1977","07",68.6,3.7,0,0
"1977","08",65.3,1,0,0
"1977","09",56.4,2.1,0,0
"1977","10",46.4,0.2,0,0
"1977","11",29.4,0.6,0,0
"1977","12",23.6,1.5,0,0
"1978","01",23.5,0.9,0,0
"1978","02",24,1.2,0,0
"1978","03",33.6,0.3,0,0
"1978","04",41.8,3.2,0,0
"1978","05",49.8,0.3,0,0
"1978","06",60.8,0.4,0,0
"1978","07",68.3,0.8,0,0
"1978","08",65.3,0.1,0,0
"1978","09",55.4,2,0,0
"1978","10",47.5,0.2,0,0
"1978","11",27.1,0.4,0,0
"1978","12",11.5,0.9,0,0
"1979","01",10.5,0.6,0,0
"1979","02",21.6,1.1,0,0
"1979","03",29.7,0.8,0,0
"1979","04",40.1,0.1,0,0
"1979","05",52.7,0.6,0,0
"1979","06",61.3,0.8,0,0
"1979","07",69.1,1.2,0,0
"1979","08",66.5,1.5,0,0
"1979","09",62,0.2,0,0
"1979","10",47.4,0.8,0,0
"1979","11",27.1,0.9,0,0
"1979","12",25.7,0.4,0,0
"1980","01",17.5,0.6,0,0
"1980","02",27.9,1.4,0,0
"1980","03",31.8,0.4,0,0
"1980","04",46,0.4,0,0
"1980","05",50.5,4.5,0,0
"1980","06",58.1,1.5,0,0
"1980","07",67.7,1,0,0
"1980","08",64,1,0,3
"1980","09",57.3,1.8,0,0
"1980","10",46,0.7,0,0
"1980","11",32.7,0.6,0,0
"1980","12",28.6,0.7,0,0
"1981","01",30.7,1.4,0,0
"1981","02",26.4,0.6,0,0
"1981","03",37.4,0.6,0,0
"1981","04",45.5,1.5,0,0
"1981","05",51.2,3.7,0,0
"1981","06",59.9,0.4,0,0
"1981","07",69.4,0.6,0,0
"1981","08",72.1,0.2,0,0
"1981","09",61.9,0.5,0,0
"1981","10",43.6,1.6,0,0
"1981","11",35.6,1.3,0,0
"1981","12",22.9,1.5,0,0
"1982","01",16.3,0.6,0,0
"1982","02",20.3,0.6,0,0
"1982","03",31.8,2.4,0,0
"1982","04",37.4,0.7,0,0
"1982","05",50,1.4,0,0
"1982","06",58.8,2.1,0,0
"1982","07",66.3,1.5,0,0
"1982","08",70.5,0.2,0,0
"1982","09",56.9,1.3,0,0
"1982","10",43.1,1.8,0,0
"1982","11",27.4,1.3,0,0
"1982","12",20.5,2.2,0,0
"1983","01",25.7,0.7,0,0
"1983","02",27.1,1.5,0,0
"1983","03",33.3,2.1,0,0
"1983","04",37.9,0.6,0,0
"1983","05",49.8,1.4,0,0
"1983","06",57.7,2.7,0,0
"1983","07",65.7,1.7,0,0
"1983","08",69.6,1.9,0,0
"1983","09",58.1,1.9,0,0
"1983","10",47.7,1.6,0,0
"1983","11",31.7,3.1,0,0
"1983","12",14.1,1.6,0,0
"1984","01",17.5,0.3,0,0
"1984","02",21,0.7,0,0
"1984","03",29.5,0.8,0,0
"1984","04",37.6,2.2,0,0
"1984","05",50.7,1.2,0,0
"1984","06",56,3.4,0,0
"1984","07",68.1,3.1,0,0
"1984","08",67.5,2.6,0,0
"1984","09",54.9,0.4,0,0
"1984","10",40.4,1,0,0
"1984","11",30.3,1.7,0,0
"1984","12",16,0.4,0,0
