"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"intcpt.yr[24,4]",1.4517500989,0.596301633229405,0.252155,1.03,1.449,1.86225,2.645275,1.00263462091971,2000
"intcpt.yr[25,1]",-1.1062982275,1.21291998345136,-3.56305,-1.89125,-1.079,-0.26645,1.2424,1.00327672619763,730
"intcpt.yr[25,2]",1.2731397336,0.744502961616277,-0.1744625,0.783525,1.268,1.78625,2.677025,1.03452457669025,50
"intcpt.yr[25,3]",2.76682725,0.503688562373984,1.81294997309132,2.42774996137869,2.753,3.11124996987065,3.78204998711448,1.00342507342163,510
"intcpt.yr[25,4]",1.697387565,0.577885677451797,0.5727625,1.30975,1.6905,2.08425,2.868025,1.00205572914304,2000
"intcpt.yr[26,1]",-0.20398077667,1.14292522873298,-2.54915,-0.925725,-0.14875,0.564,1.936125,1.00547288809925,570
"intcpt.yr[26,2]",2.6233383,0.672223185109238,1.34092491808403,2.154,2.61049995211645,3.072,3.98607497249544,1.02036848104592,93
"intcpt.yr[26,3]",2.25088895,0.501168422934816,1.31029260753685,1.90974995090123,2.248,2.59,3.2482496255279,1.00535389072129,310
"intcpt.yr[26,4]",2.4710925,0.560331258983154,1.344,2.08349981995678,2.477,2.83899947189291,3.60009994587292,1.00070609641262,2000
"intcpt.yr[27,1]",-0.27679046195,1.05898284934174,-2.477775,-0.94915,-0.2595,0.430075,1.739075,1.00278348428361,690
"intcpt.yr[27,2]",3.4759905,0.621720710392227,2.299,3.03674996912479,3.46449996391976,3.9032499759836,4.73302499742535,1.02788957860257,65
"intcpt.yr[27,3]",2.6553593,0.479066882828088,1.73397499296878,2.34,2.62999980988592,2.96424996837667,3.63007496979949,1.00429318107205,520
"intcpt.yr[27,4]",1.9567286,0.533261869856604,0.892497499863435,1.59549976486569,1.96049993624075,2.30724995937308,3.019,1.00685683798277,560
"intcpt.yr[28,1]",-0.18053340615,1.1337253845817,-2.519675,-0.89365,-0.1768,0.584275,1.912175,1.00086946308081,2000
"intcpt.yr[28,2]",1.870898105,0.671991748677545,0.58627,1.41875,1.874,2.3205,3.18755,1.01388856516154,120
"intcpt.yr[28,3]",2.1467581,0.513875186283526,1.17294995839319,1.80974994818772,2.147,2.48824996232796,3.13507496503399,1.00661768841838,250
"intcpt.yr[28,4]",1.394102239055,0.563638993643799,0.3503475,1.000725,1.3825,1.77175,2.475175,1.00418259560561,2000
"intcpt.yr[29,1]",-0.9880041482,1.24500573501761,-3.641175,-1.75925,-0.9194,-0.14665,1.266325,1.00851972905253,230
"intcpt.yr[29,2]",2.74275265,0.677024622722737,1.4498245868329,2.28324963029901,2.752,3.20624997076327,4.087,1.02799522918781,65
"intcpt.yr[29,3]",0.6989972102,0.596810204440762,-0.496055,0.3083,0.6974,1.10025,1.91705,1.00973515369176,260
"intcpt.yr[29,4]",2.68772945,0.5564643400152,1.64984973345261,2.3057499593349,2.6684999531572,3.05424996930842,3.82112492032838,1.00207274824073,2000
"intcpt.yr[30,1]",0.563080118,1.06233349960566,-1.536175,-0.17055,0.60505,1.27,2.564175,1.00386907160089,570
"intcpt.yr[30,2]",2.7613892,0.660540928453674,1.50082460091449,2.32374995964994,2.748,3.20774973704712,4.08702499701846,1.02743417058454,79
"intcpt.yr[30,3]",2.09103355,0.509319519836066,1.05582443200141,1.766,2.083,2.43349984594316,3.07529943073032,1.00331625059835,530
"intcpt.yr[30,4]",2.3969623,0.563717441557087,1.321,2.00049981248436,2.38649994762204,2.76849986458019,3.49517482935587,1.00086893843425,2000
"intcpt.mu[1]",-0.4422727333,0.527657616683887,-1.487025,-0.79985,-0.43045,-0.06177,0.5036125,1.00512327359281,330
"intcpt.mu[2]",2.36001115,0.419181627267939,1.58592493075392,2.076,2.35349994688761,2.62924996434796,3.22414986407779,1.05604951207976,33
"intcpt.mu[3]",2.409524,0.322554721246022,1.79689989132653,2.196,2.4,2.62749985731498,3.02309993555068,1.00865521592406,230
"intcpt.mu[4]",1.8480102,0.344277622866726,1.15897498947849,1.608,1.85,2.0832499550054,2.50219968890407,1.00790882136788,500
"intcpt.tau[1]",0.6487254,0.233227299048269,0.30619249641547,0.4863,0.615449997968966,0.765574988980311,1.23902499016866,1.00054635744282,2000
"intcpt.tau[2]",1.2201744,0.442976973141954,0.560572473660449,0.899024948889711,1.158,1.466,2.32609991625988,1.00090557505706,2000
"intcpt.tau[3]",1.4620697,0.457929416064265,0.739754946538436,1.133,1.404,1.7232499456075,2.51004998058787,1.00123030764559,2000
"intcpt.tau[4]",1.0190236,0.314227598970901,0.513297499762535,0.782674998802134,0.978099979552193,1.21049969038112,1.71607493615302,1.00386159447752,450
"intcpt.trt[2,1]",-3.43258675,0.875238763953243,-5.18415,-4,-3.3935,-2.82175,-1.73,1.00865653188629,210
"intcpt.trt[2,2]",-0.8956300033,0.48962507826312,-1.93405,-1.20925,-0.89125,-0.553975,0.0212849999999988,1.00113499769269,2000
"intcpt.trt[2,3]",0.220177411,0.453798228013676,-0.65656,-0.09646,0.23015,0.541675,1.099075,1.00063137667503,2000
"intcpt.trt[2,4]",-0.62511135295,0.494085121699543,-1.590025,-0.964625,-0.61995,-0.30345,0.3360425,1.00539697979072,1300
